dia,caixas_lpn,pedidos_unicos,caixas_com_romaneio,romaneios_distintos,caixas_com_embarque,pedidos_com_romaneio,pedidos_com_embarque
2026-07-07,211,17,211,12,211,17,17
2026-07-06,19,14,19,8,19,14,14
2026-07-05,1,1,1,1,1,1,1
2026-07-04,30,12,30,6,30,12,12
2026-07-03,538,63,538,33,538,63,63
2026-07-02,214,37,214,20,214,37,37
2026-07-01,387,65,386,25,386,64,64
2026-06-30,398,69,398,26,398,69,69
2026-06-29,129,14,128,10,128,14,14
2026-06-27,10,10,10,3,10,10,10
2026-06-26,316,57,316,31,311,57,57
2026-06-25,824,92,821,51,806,92,92
2026-06-24,657,62,654,39,654,62,62
2026-06-23,417,46,417,26,417,46,46
2026-06-22,504,45,503,26,503,45,45
2026-06-20,14,13,14,4,14,13,13
2026-06-19,831,82,829,41,785,81,76
2026-06-18,441,60,439,33,421,60,60
