nr_romaneio,pedidos_distintos
7191,24
6998,20
7172,20
7227,19
7132,18
7219,16
7063,14
7106,14
7015,13
7292,13
6979,12
6999,12
7017,12
7122,11
7230,11
6988,10
7029,10
7269,10
6974,9
6997,9
7048,9
7110,9
7158,9
7072,8
7092,8
7194,8
7210,8
7043,7
7111,7
7117,7
7121,7
7261,7
7273,7
7002,6
7060,6
7073,6
7093,6
7134,6
7136,6
7197,6
7236,6
7242,6
7281,6
6654,5
7013,5
7075,5
7088,5
7094,5
7101,5
7125,5
7141,5
7256,5
7293,5
7316,5
6975,4
6981,4
7049,4
7087,4
7192,4
7195,4
7199,4
7202,4
7218,4
7233,4
7323,4
7332,4
7333,4
6954,3
6980,3
6983,3
7001,3
7005,3
7009,3
7056,3
7061,3
7066,3
7083,3
7089,3
7095,3
7104,3
7138,3
7154,3
7179,3
7180,3
7190,3
7193,3
7207,3
7217,3
7223,3
7224,3
7228,3
7245,3
7282,3
6937,2
6948,2
6962,2
6978,2
7011,2
7021,2
7035,2
7041,2
7057,2
7059,2
7062,2
7065,2
7097,2
7098,2
7105,2
7120,2
7127,2
7137,2
7140,2
7144,2
7145,2
7155,2
7185,2
7196,2
7200,2
7201,2
7204,2
7213,2
7215,2
7220,2
7221,2
7231,2
7239,2
7243,2
7247,2
7249,2
7262,2
7266,2
7270,2
7276,2
7294,2
7296,2
7302,2
7314,2
7327,2
