table_schema,table_name
vtc_stage,_bkp_2logger_docs_20260601
vtc_stage,_bkp_2logger_syncitemlots_20260601
vtc_stage,_bkp_2logger_syncitems_20260601
vtc_stage,_bkp_2logger_syncorders_20260601
vtc_stage,_bkp_2logger_syncpoints_20260601
vtc_stage,_bkp_orfas_emptyref_20260601
vtc_stage,_bkp_orfas_pendentes_20260601
vtc_stage,_bkp_palletleak_itemlots_20260601
vtc_stage,_bkp_palletleak_items_20260601
vtc_stage,_bkp_palletleak_points_20260601
vtc_stage,_bkp_palletleak_stage_20260601
vtc_stage,_bkp_palletleak_syncruns_20260601
vtc_stage,_bkp_teste_2logger_554174_20260601
vtc_stage,documentos
vtc_stage,documentos_alerts
